tss,chromosome,tss_pos,promoter,enhancer,e_count
NM_002573,chr19,42806796,chr19:42805796-42807796,chr19:42756581-42756634;chr19:42784527-42784991,2
NM_002695,chr19,1095391,chr19:1094391-1096391,chr19:1408607-1408695,1
NM_002730,chr19,14228559,chr19:14227559-14229559,chr19:13944359-13944683;chr19:14708441-14708780;chr19:14719213-14719509;chr19:14724948-14725249,4
NM_002739,chr19,54385437,chr19:54384437-54386437,chr19:54411435-54411746,1
NM_002741,chr19,14544165,chr19:14543165-14545165,chr19:14545712-14545849,1
NM_002743,chr19,11546465,chr19:11545465-11547465,chr19:11253991-11254271,1
NM_002774,chr19,51472929,chr19:51471929-51473929,chr19:51012062-51012382;chr19:51059089-51059663;chr19:51069538-51069758;chr19:51166998-51167396;chr19:51198423-51198838,5
NM_002776,chr19,51523282,chr19:51522282-51524282,NA,0
NM_002777,chr19,840984,chr19:839984-841984,chr19:823657-823956,1
NM_002812,chr19,38865189,chr19:38864189-38866189,chr19:38490005-38490506;chr19:38493976-38494435;chr19:39184148-39184440,3
NM_002819;NM_031990;NM_031991,chr19,797391,chr19:796391-798391,chr19:823657-823956,1
NM_002850;NM_130853;NM_130854;NM_130855,chr19,5340814,chr19:5339814-5341814,chr19:5147751-5147768;chr19:5322399-5322569;chr19:5336072-5336705;chr19:5337153-5337266;chr19:5338459-5338816;chr19:5339517-5339797;chr19:5505612-5505767,7
NM_002866,chr19,18314874,chr19:18313874-18315874,NA,0
NM_002911,chr19,18942743,chr19:18941743-18943743,chr19:18504645-18504988;chr19:18528263-18528792;chr19:18589714-18590055;chr19:18606803-18607671;chr19:18625662-18626077;chr19:18630929-18631259;chr19:18811913-18812040,7
NM_002918,chr19,14117134,chr19:14116134-14118134,chr19:13917794-13918010;chr19:13944151-13944331;chr19:13944359-13944683;chr19:13955108-13955589;chr19:13959901-13960035;chr19:14089228-14089566;chr19:14097142-14097697;chr19:14115648-14116111;chr19:14189294-14189532;chr19:14190971-14191218;chr19:14274504-14274771;chr19:14466734-14466953;chr19:14467223-14467368;chr19:14478980-14479307;chr19:14480472-14481175;chr19:14493470-14493891;chr19:14499980-14500202,17
NM_002975,chr19,51226604,chr19:51225604-51227604,chr19:51224129-51224276,1
NM_003009,chr19,48281828,chr19:48280828-48282828,chr19:48222362-48222481,1
NM_003021,chr19,2783354,chr19:2782354-2784354,chr19:2489253-2489454;chr19:3035530-3035851,2
NM_003083,chr19,7985193,chr19:7984193-7986193,NA,0
NM_003089,chr19,49588396,chr19:49587396-49589396,chr19:49836983-49837445,1
NM_003167,chr19,48389654,chr19:48388654-48390654,chr19:48016024-48016351,1
NM_003169,chr19,39936287,chr19:39935287-39937287,chr19:39891902-39892845;chr19:39894353-39894945;chr19:40413949-40414284,3
NM_003180,chr19,55691720,chr19:55690720-55692720,chr19:55798938-55799371;chr19:55937400-55937853;chr19:55958750-55959125;chr19:55960580-55961094;chr19:55962647-55962935,5
NM_003200,chr19,1652328,chr19:1651328-1653328,chr19:1669192-1669298;chr19:1855247-1855761,2
NM_003249,chr19,2785457,chr19:2784457-2786457,chr19:3035530-3035851,1
NM_003259,chr19,10400654,chr19:10399654-10401654,NA,0
NM_003260,chr19,3029165,chr19:3028165-3030165,chr19:2974450-2974580;chr19:3035530-3035851;chr19:3231384-3231772;chr19:3344211-3344472;chr19:3404656-3404792;chr19:3428769-3429112,6
NM_003290,chr19,16187134,chr19:16186134-16188134,chr19:16085655-16086068;chr19:16188924-16190024;chr19:16230487-16230565,3
NM_003323,chr19,49401996,chr19:49400996-49402996,NA,0
NM_003331,chr19,10491248,chr19:10490248-10492248,chr19:10215397-10215725;chr19:10304383-10304612;chr19:10346765-10347120;chr19:10457281-10457542;chr19:10516279-10516445;chr19:10519571-10519867;chr19:10523082-10523284;chr19:10532501-10532989;chr19:10534715-10535011;chr19:10535896-10536533;chr19:10538657-10539326;chr19:10626566-10626966;chr19:10629734-10629865;chr19:10678483-10678588;chr19:10707270-10707444;chr19:10714716-10715205;chr19:10715339-10715596;chr19:10842367-10842486;chr19:10862011-10862152;chr19:10865897-10866291;chr19:10925932-10926095,21
NM_003367;NM_207291,chr19,35759880,chr19:35758880-35760880,chr19:35464346-35464465;chr19:35465566-35466115;chr19:35643836-35643967;chr19:35696373-35696472;chr19:35698495-35698709;chr19:35708277-35708472;chr19:35763394-35763606;chr19:35808532-35808711;chr19:35809679-35810380;chr19:35810927-35811613;chr19:35812312-35812429;chr19:35821239-35821740;chr19:35838526-35838887;chr19:35880330-35880634;chr19:35908985-35909336;chr19:35921880-35922412;chr19:35927378-35927883;chr19:35932277-35932551;chr19:35936743-35937479;chr19:35953460-35953779;chr19:36100762-36101128;chr19:36193251-36193562,22
NM_003370,chr19,46010687,chr19:46009687-46011687,chr19:45755637-45756189;chr19:45931993-45932316;chr19:45943163-45943490;chr19:45945937-45946679;chr19:45946690-45947113;chr19:45959420-45959846;chr19:45968349-45968608;chr19:46011701-46012269;chr19:46012498-46012899;chr19:46014236-46014617;chr19:46018095-46018753,11
NM_003407,chr19,39897486,chr19:39896486-39898486,chr19:39415058-39415337;chr19:39564346-39564568;chr19:39755176-39755398;chr19:39891902-39892845;chr19:39894353-39894945;chr19:39921308-39921946;chr19:40043031-40043289;chr19:40048143-40048260;chr19:40048579-40048977;chr19:40049753-40049944;chr19:40054124-40054293;chr19:40059375-40059505;chr19:40166744-40166863,13
NM_003417,chr19,57702867,chr19:57701867-57703867,NA,0
NM_003419,chr19,37341259,chr19:37340259-37342259,chr19:37322216-37322466;chr19:37424676-37424848;chr19:37795242-37795359,3
NM_003422;NM_198055,chr19,59084942,chr19:59083942-59085942,chr19:58912594-58912944,1
NM_003425,chr19,44439411,chr19:44438411-44440411,NA,0
NM_003433,chr19,58951589,chr19:58950589-58952589,chr19:58501905-58502197,1
NM_003435,chr19,58125586,chr19:58124586-58126586,chr19:58218479-58218613;chr19:58398826-58399093;chr19:58501905-58502197,3
NM_003437,chr19,12273861,chr19:12272861-12274861,chr19:12724614-12724901,1
NM_003451,chr19,9473695,chr19:9472695-9474695,chr19:8989058-8989241;chr19:9381001-9381218;chr19:9748883-9749171;chr19:9777343-9777681,4
NM_003573,chr19,41099071,chr19:41098071-41100071,NA,0
NM_003660,chr19,49622645,chr19:49621645-49623645,chr19:49943106-49943461,1
NM_003685,chr19,6424822,chr19:6423822-6425822,NA,0
NM_003712;NM_177526,chr19,291435,chr19:290435-292435,chr19:289700-289869;chr19:752652-753043,2
NM_003721;NM_134440,chr19,19303007,chr19:19302007-19304007,chr19:19083211-19083621;chr19:19514283-19514636;chr19:19562909-19563265;chr19:19570650-19571032;chr19:19571175-19572073;chr19:19600012-19600395;chr19:19701908-19702346;chr19:19708713-19709032;chr19:19711724-19712118,9
NM_003755,chr19,10230600,chr19:10229600-10231600,chr19:10138488-10138727,1
NM_003765,chr19,13261188,chr19:13260188-13262188,chr19:12892597-12892707;chr19:12896372-12896781;chr19:13188264-13188490;chr19:13266326-13267156;chr19:13278382-13278991,5
NM_003775,chr19,3178735,chr19:3177735-3179735,chr19:3165816-3165994;chr19:3177322-3177366;chr19:3503082-3503292;chr19:3548609-3549021,4
NM_003796,chr19,30433145,chr19:30432145-30434145,chr19:30163705-30164366;chr19:30171497-30171772;chr19:30322162-30322300;chr19:30336581-30336824,4
NM_003807,chr19,6670599,chr19:6669599-6671599,chr19:6556475-6556744;chr19:6639523-6639784;chr19:6659886-6659977;chr19:6668609-6668941;chr19:6674780-6675150;chr19:6802447-6802718;chr19:6892126-6892525,7
NM_003811,chr19,6531009,chr19:6530009-6532009,chr19:6062045-6062746;chr19:6489533-6489689;chr19:6518032-6518368;chr19:6556475-6556744;chr19:6577471-6577956;chr19:6587274-6587651;chr19:6588124-6588275;chr19:6589429-6589697;chr19:6592539-6592761;chr19:6639523-6639784;chr19:6659886-6659977;chr19:6660388-6660670;chr19:6674780-6675150;chr19:6802447-6802718,14
NM_003827,chr19,48018515,chr19:48017515-48019515,chr19:47613231-47613789;chr19:47613894-47614902;chr19:47805638-47805769;chr19:47814150-47814595;chr19:47817254-47817597;chr19:47818553-47819137;chr19:47826848-47827155;chr19:47827247-47827358;chr19:47827546-47828111;chr19:47833817-47834081;chr19:47854917-47855115;chr19:47867147-47867265;chr19:47867637-47867786;chr19:47873037-47873766;chr19:47874632-47874802;chr19:47886542-47886975;chr19:47892089-47892242;chr19:47892475-47892975;chr19:47893291-47893410;chr19:48016024-48016351;chr19:48016569-48017036;chr19:48103581-48103982,22
NM_003830,chr19,52133727,chr19:52132727-52134727,NA,0
NM_003890,chr19,40440533,chr19:40439533-40441533,chr19:40441958-40442162;chr19:40447509-40447978;chr19:40459260-40459714;chr19:40466097-40466407;chr19:40473949-40474218,5
NM_003950,chr19,16999670,chr19:16998670-17000670,NA,0
NM_003969,chr19,59070343,chr19:59069343-59071343,NA,0
NM_004058;NM_080590,chr19,5913654,chr19:5912654-5914654,chr19:5966194-5966581,1
NM_004107,chr19,50016435,chr19:50015435-50017435,NA,0
NM_004146,chr19,14682889,chr19:14681889-14683889,chr19:14545712-14545849,1
NM_004152,chr19,2269484,chr19:2268484-2270484,chr19:1895445-1895653;chr19:1901962-1902304;chr19:1942393-1942508;chr19:1942586-1943099;chr19:2049976-2050209;chr19:2056461-2056895;chr19:2061356-2061737;chr19:2087738-2088017;chr19:2162744-2162943;chr19:2168320-2168637;chr19:2168890-2169464;chr19:2287726-2288039;chr19:2507206-2507458;chr19:2616819-2617162;chr19:2620825-2621136;chr19:2621859-2622002;chr19:2625547-2625690;chr19:2627461-2627884,18
NM_004158,chr19,6375927,chr19:6374927-6376927,chr19:5968660-5968756;chr19:6087956-6088249;chr19:6589429-6589697,3
NM_004218,chr19,8455204,chr19:8454204-8456204,chr19:8607140-8607451;chr19:8638437-8638868,2
NM_004228;NM_017457,chr19,48972464,chr19:48971464-48973464,chr19:48761702-48761955,1
NM_004230,chr19,10341948,chr19:10340948-10342948,NA,0
NM_004234,chr19,44809178,chr19:44808178-44810178,chr19:44749585-44749846;chr19:44773096-44773391;chr19:44781587-44781871,3
NM_004283,chr19,11450344,chr19:11449344-11451344,NA,0
NM_004317,chr19,12848272,chr19:12847272-12849272,NA,0
NM_004335,chr19,17516457,chr19:17515457-17517457,NA,0
NM_004343,chr19,13049413,chr19:13048413-13050413,NA,0
NM_004359,chr19,531732,chr19:530732-532732,chr19:909116-909504;chr19:1028160-1028923,2
NM_004364,chr19,33793470,chr19:33792470-33794470,chr19:33743885-33744189;chr19:33745357-33745585;chr19:33750621-33750673;chr19:33758042-33758138;chr19:33758723-33759220;chr19:33759449-33759718;chr19:33764887-33765213;chr19:33769544-33769942;chr19:33784292-33784447;chr19:33796303-33796393;chr19:33888059-33888360;chr19:33894583-33894808,12
NM_004368;NM_201277,chr19,1026273,chr19:1025273-1027273,chr19:778993-779222;chr19:867005-867400;chr19:907464-907615;chr19:1028160-1028923;chr19:1252961-1253429;chr19:1408607-1408695,6
NM_004386,chr19,19322781,chr19:19321781-19323781,chr19:19003165-19003498;chr19:19370628-19370854,2
NM_004461,chr19,13044558,chr19:13043558-13045558,NA,0
NM_004491,chr19,47421932,chr19:47420932-47422932,chr19:47363167-47364689;chr19:47448240-47448462,2
NM_004497,chr19,46367517,chr19:46366517-46368517,chr19:46386037-46386278,1
NM_004533,chr19,50936159,chr19:50935159-50937159,chr19:50993276-50993671;chr19:51003635-51004295,2
NM_004542,chr19,54606159,chr19:54605159-54607159,NA,0
NM_004558,chr19,5823812,chr19:5822812-5824812,chr19:5505612-5505767;chr19:5968660-5968756,2
NM_004596,chr19,41256758,chr19:41255758-41257758,NA,0
NM_004597,chr19,46195574,chr19:46194574-46196574,NA,0
NM_004605,chr19,49078992,chr19:49077992-49079992,NA,0
NM_004646,chr19,36342895,chr19:36341895-36343895,NA,0
NM_004706;NM_198977,chr19,42387266,chr19:42386266-42388266,chr19:41915515-41915996;chr19:42036742-42037668;chr19:42037922-42038313;chr19:42052659-42053071;chr19:42144951-42145375;chr19:42303520-42303673;chr19:42304952-42305218;chr19:42305667-42306162;chr19:42306827-42306954;chr19:42308353-42308719;chr19:42379575-42379860;chr19:42419916-42420316;chr19:42429105-42429824;chr19:42440101-42440390;chr19:42440713-42441005;chr19:42444277-42444712;chr19:42449533-42450069;chr19:42633561-42634224;chr19:42711906-42712521;chr19:42774379-42774759;chr19:42789863-42790090,21
NM_004708,chr19,33072093,chr19:33071093-33073093,chr19:33532238-33532582,1
NM_004714;NM_006483;NM_006484,chr19,40324873,chr19:40323873-40325873,NA,0
NM_004720,chr19,19739039,chr19:19738039-19740039,NA,0
NM_004750,chr19,18717660,chr19:18716660-18718660,chr19:18526337-18526644;chr19:18760748-18761152;chr19:18761338-18761719,3
NM_004793,chr19,5720269,chr19:5719269-5721269,NA,0
NM_004819,chr19,46366548,chr19:46365548-46367548,chr19:46386037-46386278,1
NM_004823,chr19,38810483,chr19:38809483-38811483,NA,0
NM_004831,chr19,16739015,chr19:16738015-16740015,chr19:16441306-16441578;chr19:16452764-16452992;chr19:16453203-16453340;chr19:16477143-16477842;chr19:16479678-16480242;chr19:16480475-16480862;chr19:16482225-16482879;chr19:16510195-16510544;chr19:16556086-16556488;chr19:16557779-16558043;chr19:16696208-16696379;chr19:16696641-16697052;chr19:16704980-16705245;chr19:16706007-16706238;chr19:17200078-17200517;chr19:17200566-17201240;chr19:17218539-17219391;chr19:17220741-17221250;chr19:17224246-17224646;chr19:17236053-17237400,20
NM_004838,chr19,19052041,chr19:19051041-19053041,chr19:19083211-19083621,1
NM_004843,chr19,14142551,chr19:14141551-14143551,chr19:13944359-13944683;chr19:13997855-13998026;chr19:14097142-14097697;chr19:14115648-14116111;chr19:14126359-14126500;chr19:14466734-14466953;chr19:14467223-14467368;chr19:14478980-14479307;chr19:14480472-14481175;chr19:14493470-14493891;chr19:14499980-14500202;chr19:14570486-14570855;chr19:14617819-14618098;chr19:14632915-14633462,14
NM_004851,chr19,50869087,chr19:50868087-50870087,NA,0
NM_004864,chr19,18496769,chr19:18495769-18497769,chr19:18852715-18852875,1
NM_004877,chr19,39826726,chr19:39825726-39827726,chr19:39828554-39828947;chr19:39891902-39892845;chr19:39894353-39894945;chr19:39921308-39921946,4
NM_004886,chr19,3761673,chr19:3760673-3762673,chr19:3671007-3671294;chr19:3687832-3687894;chr19:3812391-3812689;chr19:4108837-4109162,4
NM_004907,chr19,13261281,chr19:13260281-13262281,NA,0
NM_004917,chr19,51413994,chr19:51412994-51414994,chr19:50948277-50948607;chr19:51010284-51010518;chr19:51059089-51059663;chr19:51151399-51151595;chr19:51166998-51167396;chr19:51465501-51465788,6
NM_004924,chr19,39138255,chr19:39137255-39139255,chr19:39148533-39148920;chr19:39149253-39149575;chr19:39182594-39182977;chr19:39184148-39184440,4
NM_004943,chr19,46296060,chr19:46295060-46297060,NA,0
NM_004977,chr19,50832634,chr19:50831634-50833634,chr19:50640094-50640250;chr19:50833837-50834367;chr19:50839026-50839389;chr19:51069538-51069758;chr19:51151399-51151595;chr19:51198423-51198838;chr19:51221435-51221859,7
NM_005001;NR_135539,chr19,8386297,chr19:8385297-8387297,NA,0
NM_005027;NR_073517,chr19,18263987,chr19:18262987-18264987,NA,0
NM_005031,chr19,35630362,chr19:35629362-35631362,chr19:35763871-35764402,1
NM_005035,chr19,633568,chr19:632568-634568,chr19:867005-867400,1
NM_005071,chr19,15083730,chr19:15082730-15084730,chr19:14665322-14665552;chr19:14789611-14789897;chr19:15334094-15334476,3
NM_005091,chr19,46526556,chr19:46525556-46527556,NA,0
NM_005178,chr19,45251977,chr19:45250977-45252977,chr19:45095975-45096232;chr19:45189303-45189576;chr19:45195366-45195649;chr19:45225441-45225906;chr19:45228436-45228775;chr19:45240026-45240191;chr19:45242034-45242469;chr19:45256546-45257099;chr19:45270781-45271407;chr19:45350775-45351289,10
NM_005184,chr19,47104406,chr19:47103406-47105406,chr19:47007354-47007679;chr19:47363167-47364689,2
NM_005224,chr19,926036,chr19:925036-927036,chr19:532930-533293;chr19:907464-907615;chr19:928103-928378;chr19:953220-953565;chr19:954903-955312;chr19:1085284-1085426;chr19:1133542-1133865;chr19:1252961-1253429,8
NM_005234,chr19,17356151,chr19:17355151-17357151,NA,0
NM_005282,chr19,46105466,chr19:46104466-46106466,NA,0
NM_005303,chr19,35842444,chr19:35841444-35843444,chr19:35696373-35696472;chr19:35812312-35812429;chr19:36100762-36101128;chr19:36193251-36193562;chr19:36202440-36202452,5
NM_005304,chr19,35849361,chr19:35848361-35850361,chr19:35464346-35464465;chr19:35465566-35466115;chr19:35466846-35467008;chr19:35643836-35643967;chr19:35701711-35701918;chr19:35708277-35708472;chr19:35808532-35808711;chr19:35809679-35810380;chr19:35810927-35811613;chr19:35812312-35812429;chr19:35838526-35838887;chr19:35920564-35920848;chr19:35921880-35922412;chr19:35927378-35927883;chr19:35936743-35937479;chr19:35951577-35951776;chr19:35953460-35953779,17
NM_005306,chr19,35940616,chr19:35939616-35941616,chr19:35464346-35464465;chr19:35465566-35466115;chr19:35466846-35467008;chr19:35481460-35481978;chr19:35661278-35661320;chr19:35708277-35708472;chr19:35808532-35808711;chr19:35809679-35810380;chr19:35810927-35811613;chr19:35812312-35812429;chr19:35838526-35838887;chr19:35908985-35909336;chr19:35920564-35920848;chr19:35921880-35922412;chr19:35927378-35927883;chr19:35932277-35932551;chr19:35936743-35937479;chr19:35951577-35951776;chr19:35953460-35953779;chr19:36345881-36346198;chr19:36400295-36400642;chr19:36404580-36404784;chr19:36406458-36406557;chr19:36420868-36421156,24
NM_005317,chr19,544033,chr19:543033-545033,chr19:511222-511648;chr19:660293-660821;chr19:661410-661735;chr19:888565-888780;chr19:909116-909504;chr19:996390-996745;chr19:1028160-1028923,7
NM_005354,chr19,18392466,chr19:18391466-18393466,chr19:18125171-18125343;chr19:18131991-18132570;chr19:18134654-18135106;chr19:18401020-18401539;chr19:18402387-18403564;chr19:18405326-18405850;chr19:18415031-18416060;chr19:18429185-18429358;chr19:18498524-18498706;chr19:18527701-18528040;chr19:18579448-18579643;chr19:18585956-18586192;chr19:18589714-18590055;chr19:18601625-18601886;chr19:18606803-18607671;chr19:18613158-18613763;chr19:18614213-18614397;chr19:18625662-18626077;chr19:18630929-18631259;chr19:18811913-18812040,20
NM_005357,chr19,42931578,chr19:42930578-42932578,chr19:42500174-42500445;chr19:42954515-42954747,2
NM_005370,chr19,16222489,chr19:16221489-16223489,chr19:15746286-15746533;chr19:15752781-15753122;chr19:15947617-15948119;chr19:16205409-16205807;chr19:16256445-16256572;chr19:16441306-16441578;chr19:16449243-16449463;chr19:16510195-16510544;chr19:16556086-16556488;chr19:16557779-16558043;chr19:16696641-16697052,11
NM_005428,chr19,6772678,chr19:6771678-6773678,chr19:6273754-6274259;chr19:6556475-6556744;chr19:6668609-6668941;chr19:6674780-6675150;chr19:6773738-6774101;chr19:6801116-6801467;chr19:6802447-6802718;chr19:6892126-6892525,8
NM_005481,chr19,893218,chr19:892218-894218,NA,0
NM_005483,chr19,4402659,chr19:4401659-4403659,NA,0
NM_005490,chr19,6767523,chr19:6766523-6768523,chr19:6801116-6801467,1
NM_005499,chr19,34919267,chr19:34918267-34920267,NA,0
NM_005535;NM_153701,chr19,18197813,chr19:18196813-18198813,chr19:17961350-17961505;chr19:18125171-18125343;chr19:18134654-18135106;chr19:18201963-18202321;chr19:18282501-18282708;chr19:18401020-18401539;chr19:18402387-18403564;chr19:18405326-18405850;chr19:18415031-18416060;chr19:18429185-18429358;chr19:18430446-18430898;chr19:18504645-18504988;chr19:18527701-18528040;chr19:18533547-18533601;chr19:18579448-18579643;chr19:18585956-18586192;chr19:18589714-18590055;chr19:18601625-18601886;chr19:18606803-18607671;chr19:18613158-18613763;chr19:18614213-18614397;chr19:18625662-18626077,22
NM_005583,chr19,13213974,chr19:13212974-13214974,chr19:12896372-12896781;chr19:12994554-12994766;chr19:13188264-13188490;chr19:13266326-13267156;chr19:13273540-13274187;chr19:13278382-13278991,6
NM_005597,chr19,3366564,chr19:3365564-3367564,chr19:3344211-3344472;chr19:3404656-3404792,2
NM_005601,chr19,51875960,chr19:51874960-51876960,NA,0
NM_005619;NM_206900,chr19,46000313,chr19:45999313-46001313,NA,0
NM_005628,chr19,47291842,chr19:47290842-47292842,chr19:47269374-47269772;chr19:47746329-47746738,2
NM_005716;NM_202468;NM_202469;NM_202470;NM_202494,chr19,14606961,chr19:14605961-14607961,chr19:14616908-14617174,1
NM_005755,chr19,4229539,chr19:4228539-4230539,chr19:4375735-4376107,1
NM_005762,chr19,59055835,chr19:59054835-59056835,NA,0
NM_005773,chr19,58459077,chr19:58458077-58460077,chr19:58175767-58176046;chr19:58218479-58218613;chr19:58398826-58399093;chr19:58501905-58502197;chr19:58824678-58824957;chr19:58912594-58912944,6
NM_005804,chr19,14530195,chr19:14529195-14531195,chr19:14097142-14097697;chr19:14115648-14116111;chr19:14466734-14466953;chr19:14467223-14467368;chr19:14478980-14479307;chr19:14480472-14481175;chr19:14493470-14493891;chr19:14570486-14570855;chr19:14617819-14618098;chr19:14632915-14633462;chr19:14719213-14719509;chr19:14895618-14895793,12
NM_005809,chr19,12912724,chr19:12911724-12913724,chr19:13188264-13188490,1
NM_005815,chr19,12551926,chr19:12550926-12552926,NA,0
NM_005858,chr19,15490612,chr19:15489612-15491612,chr19:15746286-15746533;chr19:15752781-15753122;chr19:15931746-15931802;chr19:15947617-15948119,4
NM_005860,chr19,676388,chr19:675388-677388,chr19:752652-753043,1
NM_005883,chr19,1450147,chr19:1449147-1451147,chr19:1240232-1240534;chr19:1445282-1445452;chr19:1669192-1669298;chr19:1725719-1725877,4
NM_005934,chr19,6279959,chr19:6278959-6280959,chr19:6271729-6272422;chr19:6273754-6274259,2
NM_005968;NM_031203,chr19,8509802,chr19:8508802-8510802,NA,0
NM_006003,chr19,29704136,chr19:29703136-29705136,NA,0
NM_006012,chr19,6361462,chr19:6360462-6362462,NA,0
NM_006087,chr19,6502595,chr19:6501595-6503595,chr19:6489533-6489689,1
NM_006145,chr19,14629371,chr19:14628371-14630371,chr19:14189294-14189532;chr19:14190971-14191218;chr19:14400310-14400612;chr19:14466734-14466953;chr19:14467223-14467368;chr19:14478980-14479307;chr19:14480472-14481175;chr19:14493470-14493891;chr19:14617819-14618098;chr19:14632915-14633462;chr19:14895618-14895793,11
NM_006149,chr19,39303740,chr19:39302740-39304740,NA,0
NM_006179,chr19,49567124,chr19:49566124-49568124,NA,0
NM_006184,chr19,49403306,chr19:49402306-49404306,NA,0
NM_006202,chr19,10563632,chr19:10562632-10564632,chr19:10515339-10515636,1
NM_006221;NR_038422;NR_038830,chr19,9945882,chr19:9944882-9946882,NA,0
NM_006233,chr19,36606206,chr19:36605206-36607206,NA,0
NM_006270,chr19,50143400,chr19:50142400-50144400,chr19:49924099-49924476;chr19:50141205-50141513,2
NM_006297,chr19,44079730,chr19:44078730-44080730,NA,0
NM_006300,chr19,44507076,chr19:44506076-44508076,chr19:44066872-44067293;chr19:44177519-44178042;chr19:44281524-44282142,3
NM_006332,chr19,18284589,chr19:18283589-18285589,chr19:17791017-17791370;chr19:17961350-17961505;chr19:18128099-18128520;chr19:18131991-18132570;chr19:18133045-18133309;chr19:18134654-18135106;chr19:18154526-18154804;chr19:18160238-18160511;chr19:18201963-18202321;chr19:18282501-18282708;chr19:18402387-18403564;chr19:18430446-18430898;chr19:18485152-18485556;chr19:18498524-18498706;chr19:18504645-18504988;chr19:18512599-18512849;chr19:18526337-18526644;chr19:18527701-18528040;chr19:18528263-18528792;chr19:18589714-18590055;chr19:18590516-18590939;chr19:18594405-18594611;chr19:18606803-18607671;chr19:18625662-18626077;chr19:18630929-18631259,25
NM_006339,chr19,3572942,chr19:3571942-3573942,chr19:3570616-3571018,1
NM_006351,chr19,8008708,chr19:8007708-8009708,NA,0
NM_006385;NM_198855,chr19,58144534,chr19:58143534-58145534,chr19:58175767-58176046;chr19:58321012-58321020,2
NM_006387,chr19,16653263,chr19:16652263-16654263,NA,0
NM_006397,chr19,12917427,chr19:12916427-12918427,NA,0
NM_006423,chr19,42463528,chr19:42462528-42464528,NA,0
NM_006494,chr19,42759316,chr19:42758316-42760316,chr19:42303520-42303673;chr19:42304952-42305218;chr19:42305667-42306162;chr19:42306827-42306954;chr19:42308353-42308719;chr19:42774379-42774759,6
NM_006503;NM_153001,chr19,40476911,chr19:40475911-40477911,NA,0
NM_006509,chr19,45504706,chr19:45503706-45505706,chr19:45189303-45189576;chr19:45195366-45195649;chr19:45225441-45225906;chr19:45228436-45228775;chr19:45240026-45240191;chr19:45242034-45242469;chr19:45256546-45257099;chr19:45270781-45271407;chr19:45350775-45351289;chr19:45606484-45606609;chr19:45755637-45756189;chr19:45931993-45932316;chr19:45943163-45943490;chr19:45945937-45946679;chr19:45946690-45947113;chr19:45952039-45952594;chr19:45953262-45953678;chr19:45954905-45955186;chr19:45959420-45959846;chr19:45968349-45968608;chr19:45980345-45980732;chr19:45987073-45987327,22
NM_006532,chr19,18632937,chr19:18631937-18633937,chr19:18133045-18133309;chr19:18134654-18135106;chr19:18201963-18202321;chr19:18402387-18403564;chr19:18415031-18416060;chr19:18429185-18429358;chr19:18485152-18485556;chr19:18504645-18504988;chr19:18579448-18579643;chr19:18585956-18586192;chr19:18589714-18590055;chr19:18590516-18590939;chr19:18594405-18594611;chr19:18606803-18607671;chr19:18613158-18613763;chr19:18614213-18614397;chr19:18625662-18626077;chr19:18630929-18631259;chr19:19078398-19078892;chr19:19083211-19083621,20
NM_006533,chr19,41281281,chr19:41280281-41282281,NA,0
NM_006563,chr19,12998017,chr19:12997017-12999017,chr19:12994554-12994766;chr19:13188264-13188490,2
NM_006627,chr19,30097169,chr19:30096169-30098169,chr19:30322162-30322300,1
NM_006631,chr19,9546254,chr19:9545254-9547254,chr19:9902440-9902843;chr19:9973694-9973855,2
NM_006635,chr19,57791852,chr19:57790852-57792852,chr19:57781316-57781665;chr19:58175767-58176046,2
NM_006663,chr19,45908312,chr19:45907312-45909312,chr19:45905744-45905944,1
NM_006669,chr19,55128383,chr19:55127383-55129383,chr19:54713468-54714085;chr19:54714720-54715094;chr19:55172562-55172744;chr19:55182524-55182669,4
NM_006702,chr19,7599037,chr19:7598037-7600037,chr19:7563641-7563779;chr19:7665007-7665263;chr19:7771927-7772280;chr19:7907381-7907869,4
NM_006737,chr19,55361897,chr19:55360897-55362897,chr19:55787779-55788010,1
NM_006801,chr19,48894810,chr19:48893810-48895810,chr19:49092091-49092636,1
NM_006830,chr19,1605483,chr19:1604483-1606483,chr19:1408607-1408695,1
NM_006844,chr19,15236610,chr19:15235610-15237610,NA,0
NM_006858,chr19,10946983,chr19:10945983-10947983,chr19:11253262-11253482;chr19:11253991-11254271,2
NM_006863,chr19,55105040,chr19:55104040-55106040,chr19:54713468-54714085;chr19:54714720-54715094;chr19:54772917-54773137;chr19:54775040-54775263;chr19:54775575-54775830;chr19:54776130-54776262;chr19:54793222-54793417;chr19:54830246-54830549;chr19:54884057-54884427;chr19:54885175-54886148;chr19:54886806-54887123;chr19:54894976-54895239;chr19:54901247-54901400;chr19:55124034-55124091;chr19:55154603-55154728;chr19:55171811-55172040;chr19:55172562-55172744;chr19:55182524-55182669;chr19:55370952-55371292;chr19:55383279-55383463;chr19:55387041-55387235,21
